name,screen_name,location,followers_count,friends_count,tweet
to nem ai,kellsoueu,MG,15,53,RT @PauloVieiraReal: Bolsonaro acha chique assinar QUALQUER contrato com o governo americano. É o típico Brasileiro médio que queria ter na…
Ale Martins,bergmann_ale,,380,531,"RT @jairbolsonaro: Jornalistas maldosos falaram recentemente em mal estar no mercado gerado pelo governo. Pois bem, a Bolsa de Valores atin…"
#StopCoupInBrazil,w1bs,"Rio de Janeiro, Brasil",1601,3180,"RT @EfBianca: É patriota mas chama o Brasil de lixo. 

É contra a mamata mas gasta milhões no cartão corporativo. 

É um governo pautado na…"
André,andre_quinones,,7,59,RT @julianopsol50: A viagem da comitiva brasileira aos EUA está sendo um festival de absurdos. Depois de anunciar a entrega de Alcântara e…
Frederico Araújo,nq6,"Salvador, Ba, Brasil",105,195,"@MarceloFreixo Segura o choro, pois Bolsonaro continua sendo nosso presidente apesar do seu chilique. Em 2022 reele… https://t.co/mg8XQtp4uy"
Almi Nobre,Almi26884632,"Campinas, Brasil",1,136,"Calma está só início do governo, vai vir muitas ��� ainda ������� #BolsonaroEnvergonhaOBrasil"
troia  � �,iamtroia,"SUB-DESENVOLVIDO, Brazil",1248,343,"RT @FlavioDino: O que gera “mal-estar” é ficar atacando o principal parceiro comercial do Brasil, ameaçando interesses legítimos de nossas…"
Henrique,Henri00que,,160,341,RT @Re_soahres: #nomeiagovernador mais agentes pra susepe @EduardoLeite_ @DelegadoRanolfo @SSP_RS @governo_rs https://t.co/1zlUWJ26mB
Bethania Domingues,bekka905,,28,534,RT @PauloVieiraReal: Bolsonaro acha chique assinar QUALQUER contrato com o governo americano. É o típico Brasileiro médio que queria ter na…
Humberto Freire,HumbertoFrei17,,6,28,RT @joicehasselmann: Governo do Amazonas decidiu NÃO privatizar seu elefante branco. O estádio arena da Amazônia custa 1 MILHÃO p/mês. Quem…
shirlei vaz,shushirlei,,2663,2662,"RT @BiggThii: ""O que é CIA?""

Os jornalistas brasileiros tem uma espécie de FETICHE ou TARA por passar VERGONHA!

Porta-voz do Governo Otáv…"
"Me admira vc, Márcio™",quasemarcio,São Paulo - SP ¯\_(ツ)_/¯,6142,1385,"Em comemoração aos 30 anos do Governo Popular Democrático  na cidade de São Paulo, deputada Luiza Erundina faz conf… https://t.co/VglLyyO61q"
Orlando Almeida bolsominion17,nandodesigner40,"Fortaleza, Brasil",155,292,"RT @sophiaecharles: Mais uma do nosso MITO MORO! ��

“Há quem diga q vai perder a governabilidade! 
Mas qual governabilidade? 
A da grande…"
EverTon,B35574519,"St Paul, MN",5,78,"RT @kallilolv: Já concordei com declarações de Reinaldo Azevedo, Silas Malafaia, Rodrigo Maia, Gilmar Mendes... o governo Bolsonaro é tão d…"
Portal NoAr,PortalNoArBR,Natal/RN - Brasil,18613,189,Governo do RN irá lançar novo Portal da Transparência https://t.co/Rx2ghZTIu3
luiz antonello,luizntonello,"Blumenau, SC",384,334,"RT @ricksenra: por telefone, na manhã seguinte a seu primeiro encontro pessoal com Bolsonaro, Bannon me disse que sente uma ""clara preocupa…"
Maria Lemos,McpLemos,Aracaju,99,464,"RT @PastorMalafaia: O FILHO DO PRESIDENTE, Eduardo Bolsonaro, ajudaria muito mais ao governo do seu pai, parando de falar asneira. Poderia…"
Edivaldo Lima,edivaldo_ati,,41,135,"RT @em_com: Estrategistas do governo acreditam que o projeto tenha, ao menos, 20 votos a mais que os 308 necessários https://t.co/gNwvPzV6b6"
