name,screen_name,location,followers_count,friends_count,tweet
IndignAÇÃO,IndignoBrasil,Brasil,1437,2050,"@folha Quanto desses aí estão mamando nas tetas do governo??
#EstadaoFaltouEu"
ᵗᵒᵏᵏᶥ,JIMJEON_,"ㅡ ʙᴛs, ɴᴄᴛ, ᴍx, ᴀsᴛʀᴏ, ᴛxᴛ",1793,1571,"RT @JenioQuadros: Esse governo fez o Silas Malafaia dar uma opinião sensata e moderada 

Que momento difícil passamos https://t.co/BS0R9Hhp…"
Raphael,crvg_ralmeida,Rio de Janeiro,600,194,RT @globoesportecom: Governo do Rio de Janeiro anuncia rompimento com consórcio que gere o Maracanã https://t.co/WS4oXjlmKd https://t.co/SQ…
Deivson Felipe,Deivson_Felipe,Paulista - Pernambuco ,16,30,"Enquanto outros governos criam cargos, o governo Bolsonaro EXTINGUE cargos, economizando nosso dinheiro! Tem peteza… https://t.co/gdvb2Ks0v8"
Fernando Luiz,Luzifer00550438,"Rio de Janeiro, Brasil",145,68,RT @nelsonhbarbosa: Segue site do Dieese com calculadora da proposta do governo para reforma da previdência:  https://t.co/FAnlDJTVLn
Rogério Marcus,rog_marcus,"Belo Horizonte, MG, Brasil",1477,151,"RT @AlencarBraga13: Patriotismo do governo Bolsonaro:
- ministro educação chama brasileiros de ladrões;
- Eduardo Bolsonaro diz que é vergo…"
Agência Lusa,Lusa_noticias,Portugal,181836,0,Médicos acusam Governo de discriminação em despacho de substituição de profissionais - https://t.co/4i3cGdDIQ0 https://t.co/8qWmFgIZeO
Mita Soldier,MitaSoldier,,3539,3505,"RT @maryritalopes: A grobo n satisfeita de boicotar o governo, ontem no fantastico acusou o presidente de estar ligado ao assassinato de La…"
Douglas,Dougglas_Reis,Por aí,44,221,"RT @FoxSportsBrasil: Governo do Rio de Janeiro rompe contrato de concessão do Maracanã; veja

 � https://t.co/wHUiGr2211

Clique e assine o…"
Júlio César Passágli,JulioPassagli,,32,95,@zehdeabreu O respeito entre eles nada significa.  Os dois foram chutados do governo.  Ambas sociedades viram e rep… https://t.co/HzyP7rqndJ
Fábio da Silva Vaz,fabiosvaz,"QD 01, Sobradinho, Brasília-DF",243,962,"RT @BlogdoNoblat: No caso específico de Cristovam, o PT jogou todas as suas fichas para derrotá-lo e eleger Izalci Lucas, que nem do PT era…"
Famous Black,lucaslinhares25,,192,1237,"Os eleitores dos bosominion brigando com MBL
Silas malafaia  criticando os filhos do Bolsonaro
Olavo de carvalho cr… https://t.co/xZDYcvUfVG"
Carmenmaraujo,Carmenmaraujo1,,2066,2845,RT @kallilolv: Ontem fez três anos que o então juiz fora da lei divulgou ilegalmente os áudios de Lula conversando com Dilma para fomentar…
Felippe Costa,felippecosta1,Rio de Janeiro,13455,1004,Governo do Rio de Janeiro anuncia rompimento com consórcio que gere o Maracanã | futebol | Globoesporte https://t.co/6ToaQKglNo
Ademar Joaquim,ademarjoa,,472,4264,"RT @BlogdoNoblat: No caso específico de Cristovam, o PT jogou todas as suas fichas para derrotá-lo e eleger Izalci Lucas, que nem do PT era…"
Danilo Alves,daniloalvesdfc,"Pernambuco, Brasil",2,60,"RT @PastorMalafaia: O FILHO DO PRESIDENTE, Eduardo Bolsonaro, ajudaria muito mais ao governo do seu pai, parando de falar asneira. Poderia…"
Ser Feliz e o que interessa ����,tdomuda,Brasil,126,163,"RT @maryritalopes: A grobo n satisfeita de boicotar o governo, ontem no fantastico acusou o presidente de estar ligado ao assassinato de La…"
ValdireneSantana,Valdire10175251,,5,9,"RT @jairbolsonaro: Nos hospedaremos na Blair House. É uma honraria concedida a pouquíssimos Chefes de Estado, além de não custar um centavo…"
Antonio Lustosa,AntonioLustosa_,João Pessoa -PB,9496,10413,"RT @PastorMalafaia: O FILHO DO PRESIDENTE, Eduardo Bolsonaro, ajudaria muito mais ao governo do seu pai, parando de falar asneira. Poderia…"
The Kumbaya,TKumbaya,,36,142,@SraPatalogica E num é o que vai acontecer. O governo brasileiro vai ajudar a deportar os ilegais lá na terra do tio Sam.
Flor do Deserto,FlordoDeserto9,,23,65,"RT @LulaOficial: O crime de Moro foi claro, não foi indeterminado, não foi uma história sem pé nem cabeça de apartamento. Foi contra a demo…"
Paula Siebeneichler,PaulaLyla,Dourados - MS,317,884,"RT @BohnGass: Que ninguém se iluda. A demissão de milhares de servidores pelo governo não é para reduzir custos, não. É para criar vagas a…"
Paulo Viana,paulorcviana,"Brasília, Brasil",383,1346,RT @UOLEsporte: Governo do Rio anuncia rompimento do contrato do Maracanã https://t.co/9i8BYwRF8e
eladio eufrasio,EufrasioEladio,,450,1019,Silas Malafaia diz que Eduardo Bolsonaro ajudaria mais o governo 'parando de falar asneira' https://t.co/NQgrdDGgPU
ᵗᵒᵏᵏᶥ,JIMJEON_,"ㅡ ʙᴛs, ɴᴄᴛ, ᴍx, ᴀsᴛʀᴏ, ᴛxᴛ",1793,1571,"RT @yurdimple: olavo de carvalho dizendo que o governo não dura 6 meses se continuar assim e agora o silas malafaia fala isso aqui

nem a d…"
Carlos Siqueira,csiqueirapsb,,789,89,"Presidente do PSB no Maranhão e integrante da Executiva Nacional, o atual prefeito de Timon, @LucianoLeitoa, esteve… https://t.co/m4EylqTWcL"
Angela Camolese Nespoli,angela_nespoli,,2206,601,"7. Finalmente, saibam que não há nada de novo, nesta forma de agir. 
A ""receita do bolo"" é a mesma, até hoje. Segue… https://t.co/tZb1FEbt3P"
luisa,luisaaazevedo,,127,299,"RT @lelispatricia: Esse (des) governo do Bolsonaro é tão absurdo que pela primeira vez me fez concordar com o pilantra do Malafaia, olha o…"
Alana,luluoec,"Curitiba, Brasil",1177,302,"RT @g_jareta: Isso só seria possível se o governo criasse mecanismos para restringir a saída de viajantes brasileiros do país, i.e., litera…"
Flávio Lucio,flavioadv,Mimoso do Sul/ES,119,258,Governo e redes sociais não divulgam queda do Produto Interno Bruto e via de regra previsão de crescimento aquém do esperado.
Silvânio Santos,Silvanio80,Maribondo-AL.,56,123,"RT @socioambiental: A relação dos Waimiri Atroari com os brancos é pontuada por sangue e lágrimas. Nela, uma tentativa de genocídio durante…"
Filipe Pereira,FilipeRN93,"Volta Redonda, Brasil",1771,3459,RT @fimdejogo: Concessão do Maracanã cancelada pelo governo do estado. Ela tem até o dia 19 de abril para deixar o estádio
Matheus Barbosa,Matheus_fla1895,Brasil,3,14,"@antoniocarlosto @b_delaurentis Amigo,o governo está tirando a Odebrecht pra colocar a Ferj no controle do estádio,… https://t.co/e4GcU8HfTL"
Jon Jonᶜʳᶠ#bolsonarotemrazao,jon_jonfla,,195,394,"RT @lancenet: Governo do RJ anuncia rompimento com Consórcio, que tem até dia 19 para deixar o Maracanã https://t.co/l0blTL0iPJ #lancenet"
Correio da Manhã,cmjornal,"Lisboa, Portugal",361978,1177,Cm ao Minuto - Médicos acusam Governo de discriminação em despacho de substituição de profissionais https://t.co/UVgD6v5jUu
governo do patê,ElliusTyberax,,74,214,"RT @JenioQuadros: Esse governo fez o Silas Malafaia dar uma opinião sensata e moderada 

Que momento difícil passamos https://t.co/BS0R9Hhp…"
Wandeco into the spiderverse,wander17son,"Duque de Caxias, Brasil",728,463,"RT @chevaz: O mesmo cara retorna à cúpula da polícia civil quando da formação do governo Witzel.

https://t.co/fPZtEs32mf"
Paulo Viana,paulorcviana,"Brasília, Brasil",383,1346,RT @SerieA__2019: Governo do Rio rompe com a concessionária do Maracanã.
Skywalker,LuccaoSkywalker,"Sete Lagoas, Brasil",154,125,"RT @jovensreacinhas: Bolsonaro disse novamente que a Amazônia não é nossa e ainda chamou o Brasil de lixo

É incrível, os caras entregaram…"
charlie lulalivre,o_singular,Berlim Oriental,894,825,"RT @Daneandrade13: Quem compra produto ou serviço de sua ""empresa"" é o trabalhador assalariado.Qdo governo ferra o assalariado,empresas tb…"
Kildare Johnson��,kildarejohnson,,421,422,"@BolsonaroSP @jairbolsonaroe Inveja (BRANCA) dos senhores! Sim, a Inteligência é a cervical de um governo sólido. A… https://t.co/PWMBkRFx2L"
Fifico  Siebra,fjosi1,,1545,3326,"RT @GDimenstein: Joice Hasselmann deve achar que ainda é apenas uma blogueira comprometida apenas em fazer polêmica, e não uma líder do gov…"
Dea Eris,ErisDea,,61,318,"RT @QuebrandoOTabu: Feliciano disse que a equipe de Bolsonaro é despreparada. 
Olavo de Carvalho recomendou aos ""alunos"" que abandonem o go…"
always somewhere,wixxxxla,Na puta que pariu ,37,110,"RT @JenioQuadros: Esse governo fez o Silas Malafaia dar uma opinião sensata e moderada 

Que momento difícil passamos https://t.co/BS0R9Hhp…"
RAMON,mn_ramon,"Pinheiros, São Paulo",2567,2950,"RT @maryritalopes: Toda mentira ou omissåo da grobo sobre o governo será respondida por nós. 
Objetivo da grobo _ boicotar,  criminalizar e…"
Pedro Moraes,pppmoraes76,"Rio de Janeiro, Brasil",1883,1762,RT @fimdejogo: Concessão do Maracanã cancelada pelo governo do estado. Ela tem até o dia 19 de abril para deixar o estádio
Miguel Palmeirense,MiguelCampos12,"São Paulo, Brasil",2626,2365,Governo de SP divulga calendário de atividades em escola atingida por massacre em Suzano | São Paulo | G1 https://t.co/TeJyr4ouIS
papai chora no banho,valedasrainhas,"São Paulo, Brasil",31,208,"RT @PastorMalafaia: O FILHO DO PRESIDENTE, Eduardo Bolsonaro, ajudaria muito mais ao governo do seu pai, parando de falar asneira. Poderia…"
Mateusᶜʳᶠ �⚫��,Mateuzin87,"Nova Iguaçu, RJ",492,570,"RT @fimdejogo: Segundo @wilsonwitzel o governo já estava em conversas com a @CONMEBOL para nenhum prejuízo aos jogos da Copa América, Liber…"
Rubro Negro de CABO FRIO,AndersonFLARJ1,"Rio de Janeiro, Brasil",83,365,"@wilsonwitzel acaba de rescindir o contrato de concessão com a Odebrecht. Porém, não falou sobre ter uma nova licit… https://t.co/yraBVxdRcF"
Maay �,Maay_andr,,28,49,RT @acababolso: 1385 dias para o fim do governo Bolsonaro
