name,screen_name,location,followers_count,friends_count,tweet
Gustavo Sansoni,GustavoSansoni,,7,68,"@condegustavo Todo governo tem uma parte exótica; Lula era a tendência compulsiva para roubar, Dilma tendência a to… https://t.co/Pi68kPC5Zh"
Junior Oliveira �,queissojuninho,"Baker Street, 221B",1136,661,"RT @Glauber_Braga: O governo Bolsonaro acaba de assinar acordo que permite aos EUA lançar satélites e foguetes da base de Alcântara, Maranh…"
Silvana Souza,silvanasouza390,,80,313,"RT @RogerioCorreia_: Bolsonaro envergonha o Brasil no mundo, mas ""tem"" um belo hino. “Aluga-se”, de Raul Seixas e Claudio Roberto Azeredo,…"
FAVELADO NATO!�,budufavela,,756,2378,"RT @gleisi: A viagem de Bolsonaro e seu governo aos EUA tem sido humilhante para o Brasil! Quem entrega seu país, não defende os seus, lamb…"
Coletânea VPL,coletaneaVPL,"Porto Alegre, RS, Brasil",122,191,RT @erikakokay: Classificar Bolsonaro de “nacionalista” é um escárnio. “Brasil acima de tudo” e “Pátria Amada Brasil” são slogans que não c…
Lyli,lylippenteado,,1495,2350,"RT @gleisi: A viagem de Bolsonaro e seu governo aos EUA tem sido humilhante para o Brasil! Quem entrega seu país, não defende os seus, lamb…"
Ana Paula Rabadan,anapaularabadan,Brasil,484,436,RT @samiabomfim: O PSOL vai apresentar amanhã um Projeto de Decreto Legislativo para sustar o decreto de Bolsonaro que dispensa visto de en…
Elvira Araujo,elvira_araujo,Brasil,118,338,"RT @Glauber_Braga: O governo Bolsonaro acaba de assinar acordo que permite aos EUA lançar satélites e foguetes da base de Alcântara, Maranh…"
Ana Paula Marquês,AnaPaulaMarqus3,,104,142,"RT @FlordeL30565479: Ué, trocamos de governo e ninguém avisou? Não elegemos o Jair Bolsonaro para Presidente do Brasil? ainda somos uma dem…"
mikaninja,Armymaloqueira,Brasil/Esmeralds,179,255,"RT @RogerioCorreia_: Bolsonaro envergonha o Brasil no mundo, mas ""tem"" um belo hino. “Aluga-se”, de Raul Seixas e Claudio Roberto Azeredo,…"
DHYON,dhyonatham,"São Paulo, Brasil",238,703,"RT @RogerioCorreia_: Bolsonaro envergonha o Brasil no mundo, mas ""tem"" um belo hino. “Aluga-se”, de Raul Seixas e Claudio Roberto Azeredo,…"
debo,dprazim,"Récife, Brésil",75,356,"RT @Glauber_Braga: O governo Bolsonaro acaba de assinar acordo que permite aos EUA lançar satélites e foguetes da base de Alcântara, Maranh…"
"Faramir, Captain of Ithilien",faramir2983,Middle-earth,7,182,"RT @RogerioCorreia_: Bolsonaro envergonha o Brasil no mundo, mas ""tem"" um belo hino. “Aluga-se”, de Raul Seixas e Claudio Roberto Azeredo,…"
Cristiane Silva Da Paixão,Cristia36692232,,173,165,"RT @RogerioCorreia_: Bolsonaro envergonha o Brasil no mundo, mas ""tem"" um belo hino. “Aluga-se”, de Raul Seixas e Claudio Roberto Azeredo,…"
Cláudio Nascimento,lconrj,Rio de Janeiro,129,328,"@cartacapital O Governo Bolsonaro terá grandes aliados internacionais, e a partir desse encontro com Trump, o Brasi… https://t.co/k8TnT7lnYY"
Ricardo Ribeiro,Ribeiro54srf,"João Pessoa, Brasil",696,1008,"RT @gleisi: A viagem de Bolsonaro e seu governo aos EUA tem sido humilhante para o Brasil! Quem entrega seu país, não defende os seus, lamb…"
Ly Esquerdelícia,MeninaVeneno007,Brasil,384,582,"RT @heldersalomao: Nem tudo são Fake News. Em visita aos EUA, Bolsonaro disse uma verdade sobre seu governo.�

""O Brasil não é um terreno a…"
Márcio Costa,PERYCOSTA,,40,239,RT @erikakokay: Classificar Bolsonaro de “nacionalista” é um escárnio. “Brasil acima de tudo” e “Pátria Amada Brasil” são slogans que não c…
macumba psicológica,anandaporto,"Rio de Janeiro, Brasil",1497,220,"RT @BohnGass: Se Bolsonaro não parar de dizer asneiras sobre a China, prejuízo para o Brasil será irreversível. Por conta da retórica do pr…"
Josycarla Dionizio,josydio,RJ,452,92,"RT @Glauber_Braga: O governo Bolsonaro acaba de assinar acordo que permite aos EUA lançar satélites e foguetes da base de Alcântara, Maranh…"
Lu Horta�� �♥️ �� � - LIBRIANA �,Mariade50557342,Porto Alegre - RS,2197,1993,RT @allantercalivre: A crise que o governo Bolsonaro está gerando no Brasil fará a vida dos brasileiros mais parecida com a dos países de p…
Jeniffer Paggiaro,J_Paggiaro,,15,130,RT @samiabomfim: O PSOL vai apresentar amanhã um Projeto de Decreto Legislativo para sustar o decreto de Bolsonaro que dispensa visto de en…
Sergio Lima,Sergio_lima66,Rio de Janeiro,1062,1042,"RT @RogerioCorreia_: Bolsonaro envergonha o Brasil no mundo, mas ""tem"" um belo hino. “Aluga-se”, de Raul Seixas e Claudio Roberto Azeredo,…"
Márcio Costa,PERYCOSTA,,40,239,"RT @gleisi: A viagem de Bolsonaro e seu governo aos EUA tem sido humilhante para o Brasil! Quem entrega seu país, não defende os seus, lamb…"
Diassis Lima,DiassisLima4,,1,29,@BolsonaroSP @jairbolsonaro Brasil com o governo Bolsonaro segue no rumo certo. Foi pra isso que ajudei a eleger o… https://t.co/BuxnOwThlK
Paulo Rocha,_paulomrocha_,"Curitiba, Brasil",337,1433,@FlavioDino Parece que Bolsonaro renunciou a presidência do Brasil para ser funcionário do governo dos EUA. Ele só… https://t.co/qcfUtGj7gC
Rafael Ramires Leite,RamiresHimself,Brasil,115,181,RT @samiabomfim: O PSOL vai apresentar amanhã um Projeto de Decreto Legislativo para sustar o decreto de Bolsonaro que dispensa visto de en…
Cinára Peruzzato,PeruzzatoCinara,Caxias do Sul RS,26,47,"RT @gleisi: A viagem de Bolsonaro e seu governo aos EUA tem sido humilhante para o Brasil! Quem entrega seu país, não defende os seus, lamb…"
Cláudio Nascimento,lconrj,Rio de Janeiro,129,328,"@conexaopolitica O Governo Bolsonaro terá grandes aliados internacionais, e a partir desse encontro com Trump, o Br… https://t.co/0pTG0WJeBU"
Antonio A Moura,AntonioAMoura1,João Pessoa - PB,57,102,"RT @Glauber_Braga: O governo Bolsonaro acaba de assinar acordo que permite aos EUA lançar satélites e foguetes da base de Alcântara, Maranh…"
Fabiano Nascimento,Fabiano_30,,686,537,RT @DCM_online: Ex-embaixador do Brasil nos EUA diz que governo Bolsonaro afeta a soberania do país https://t.co/4WaFzPwKAQ
Jose Fernandes,ChcaririJose,"Fortaleza, Brasil",972,1900,"RT @FlordeL30565479: Ué, trocamos de governo e ninguém avisou? Não elegemos o Jair Bolsonaro para Presidente do Brasil? ainda somos uma dem…"
Fernando Ortega,fortega10,Brasil Juiz de Fora / Rio,138,92,"RT @gleisi: A viagem de Bolsonaro e seu governo aos EUA tem sido humilhante para o Brasil! Quem entrega seu país, não defende os seus, lamb…"
Sol com a peneira,ton_otimista,"Santarém, Brasil",196,402,RT @erikakokay: Classificar Bolsonaro de “nacionalista” é um escárnio. “Brasil acima de tudo” e “Pátria Amada Brasil” são slogans que não c…
Ly Esquerdelícia,MeninaVeneno007,Brasil,384,582,"RT @gleisi: A viagem de Bolsonaro e seu governo aos EUA tem sido humilhante para o Brasil! Quem entrega seu país, não defende os seus, lamb…"
Mauro Sergio Lula Gomes,maurosgs1108,,404,1810,"RT @RogerioCorreia_: Bolsonaro envergonha o Brasil no mundo, mas ""tem"" um belo hino. “Aluga-se”, de Raul Seixas e Claudio Roberto Azeredo,…"
Nilton Correa,NiltonCorrea8,"Ribeirão Preto, Brasil",52,99,"RT @RogerioCorreia_: Bolsonaro envergonha o Brasil no mundo, mas ""tem"" um belo hino. “Aluga-se”, de Raul Seixas e Claudio Roberto Azeredo,…"
Luiz Carlos Tessima,LCTessima,,5,76,"RT @RogerioCorreia_: Bolsonaro envergonha o Brasil no mundo, mas ""tem"" um belo hino. “Aluga-se”, de Raul Seixas e Claudio Roberto Azeredo,…"
Jonei Reis,Jonei_Reis,,103,578,"RT @RogerioCorreia_: Bolsonaro envergonha o Brasil no mundo, mas ""tem"" um belo hino. “Aluga-se”, de Raul Seixas e Claudio Roberto Azeredo,…"
valdivino Lula inocente,valdivinocosta3,"Minas Gerais, Brasil",480,501,"RT @RogerioCorreia_: Bolsonaro envergonha o Brasil no mundo, mas ""tem"" um belo hino. “Aluga-se”, de Raul Seixas e Claudio Roberto Azeredo,…"
Paz e  Resistência,Paivasil,"Curitiba, Brasil",518,303,"RT @heldersalomao: Nem tudo são Fake News. Em visita aos EUA, Bolsonaro disse uma verdade sobre seu governo.�

""O Brasil não é um terreno a…"
Jan Cunha Goldfeld F,Jan_CGFilho,"Goiânia, Brasil",356,683,"Legal a aproximação do bolsonaro com os EUA! Ao contrário da esquerda que quer q@o Brasil se aproxima de Cuba, Vene… https://t.co/jmXGXkjzM8"
LulaLivre,adifersan,,351,720,"RT @heldersalomao: Nem tudo são Fake News. Em visita aos EUA, Bolsonaro disse uma verdade sobre seu governo.�

""O Brasil não é um terreno a…"
Adéle��,DinaR78327965,Nêmesis,606,319,"RT @RogerioCorreia_: Bolsonaro envergonha o Brasil no mundo, mas ""tem"" um belo hino. “Aluga-se”, de Raul Seixas e Claudio Roberto Azeredo,…"
Adéle��,DinaR78327965,Nêmesis,606,319,"RT @heldersalomao: Nem tudo são Fake News. Em visita aos EUA, Bolsonaro disse uma verdade sobre seu governo.�

""O Brasil não é um terreno a…"
doug souza,dougsoua,,234,936,"RT @gleisi: A viagem de Bolsonaro e seu governo aos EUA tem sido humilhante para o Brasil! Quem entrega seu país, não defende os seus, lamb…"
Gisele Santos,GiseleSantos05,,8,40,"RT @heldersalomao: Nem tudo são Fake News. Em visita aos EUA, Bolsonaro disse uma verdade sobre seu governo.�

""O Brasil não é um terreno a…"
Alexander,doisberto5,Tangamandapio,907,66,RT @samiabomfim: O PSOL vai apresentar amanhã um Projeto de Decreto Legislativo para sustar o decreto de Bolsonaro que dispensa visto de en…
tadeu,bdfreitas,São Paulo,1043,2260,"RT @gleisi: A viagem de Bolsonaro e seu governo aos EUA tem sido humilhante para o Brasil! Quem entrega seu país, não defende os seus, lamb…"
Lols,ohsol_youkee,Via Láctea,89,263,RT @samiabomfim: O PSOL vai apresentar amanhã um Projeto de Decreto Legislativo para sustar o decreto de Bolsonaro que dispensa visto de en…
Marco Aurélio N. BaPTista,Marco_1970,Brasil,157,1722,"RT @heldersalomao: Nem tudo são Fake News. Em visita aos EUA, Bolsonaro disse uma verdade sobre seu governo.�

""O Brasil não é um terreno a…"
sebastian Lula fernan,sefher13,,391,488,"RT @jovensreacinhas: Bolsonaro disse novamente que a Amazônia não é nossa e ainda chamou o Brasil de lixo

É incrível, os caras entregaram…"
